Format Version,1.21,Take Name,tapar2 varios marcadores,Capture Frame Rate,90.000000,Export Frame Rate,90.000000,Capture Start Time,2020-06-26 11.27.46.745 AM,Total Frames in Take,3809,Total Exported Frames,3809,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.066667,-0.180267,0.286110,0.178531,-0.189484,0.183492,0.185448,-0.207178,0.285947,0.178253,-0.235687,0.224423,0.199347,-0.191981,0.277906,0.178337,-0.214886,0.204795,0.187689,-0.189604,0.157644,0.181479,-0.193999,0.231204,0.163115,-0.213345,0.183801,0.190183,-0.136282,0.262464,0.216407,-0.192465,0.208052,0.180503,-0.151094,0.229673,0.198944,-0.252668,0.259113,0.214006,-0.239374,0.289422,0.191266,-0.170061,0.205826,0.187875,-0.170206,0.187602,0.191242,-0.148803,0.290795,0.195308,-0.140460,0.203227,0.210909,-0.242390,0.195227,0.209071,,,,,,,,,,,,
7,0.077778,-0.180238,0.286110,0.178527,-0.189457,0.183492,0.185440,-0.207148,0.285947,0.178254,-0.235661,0.224424,0.199333,-0.191933,0.277918,0.178342,-0.214857,0.204796,0.187673,-0.189569,0.157643,0.181460,-0.193955,0.231181,0.163181,-0.213274,0.183799,0.190172,-0.136252,0.262455,0.216423,-0.192411,0.208060,0.180467,-0.151070,0.229678,0.198947,-0.252641,0.259107,0.213994,-0.239341,0.289411,0.191252,-0.170026,0.205818,0.187901,-0.170167,0.187608,0.191232,-0.148770,0.290790,0.195320,-0.140430,0.203223,0.210914,-0.242362,0.195222,0.209035,,,,,,,,,,,,
8,0.088889,-0.180205,0.286082,0.178507,-0.189444,0.183483,0.185438,-0.207121,0.285942,0.178255,-0.235641,0.224417,0.199293,-0.191908,0.277906,0.178348,-0.214844,0.204793,0.187667,-0.189551,0.157638,0.181452,-0.193918,0.231169,0.163226,-0.213255,0.183794,0.190166,-0.136226,0.262442,0.216419,-0.192394,0.208049,0.180472,-0.151053,0.229665,0.198949,-0.252617,0.259107,0.213976,-0.239317,0.289399,0.191238,-0.170010,0.205804,0.187904,-0.170155,0.187582,0.191243,-0.148740,0.290775,0.195331,-0.140409,0.203207,0.210914,-0.242351,0.195222,0.209016,,,,,,,,,,,,
9,0.100000,-0.180188,0.286063,0.178507,-0.189444,0.183465,0.185441,-0.207099,0.285927,0.178251,-0.235612,0.224424,0.199292,-0.191886,0.277888,0.178349,-0.214834,0.204777,0.187675,-0.189553,0.157610,0.181464,-0.193908,0.231152,0.163226,-0.213253,0.183782,0.190167,-0.136211,0.262416,0.216424,-0.192386,0.208031,0.180484,-0.151024,0.229612,0.198936,-0.252599,0.259103,0.213980,-0.239296,0.289387,0.191235,-0.170002,0.205780,0.187915,-0.170145,0.187564,0.191249,-0.148715,0.290731,0.195346,-0.140402,0.203177,0.210921,-0.242347,0.195213,0.209019,,,,,,,,,,,,
10,0.111111,-0.180159,0.286033,0.178441,-0.189450,0.183441,0.185454,-0.207087,0.285903,0.178252,-0.235609,0.224410,0.199305,-0.191879,0.277866,0.178347,-0.214829,0.204735,0.187703,-0.189571,0.157578,0.181488,-0.193906,0.231125,0.163238,-0.213263,0.183762,0.190185,-0.136206,0.262367,0.216435,-0.192401,0.207987,0.180524,-0.151002,0.229565,0.198965,-0.252586,0.259091,0.213992,-0.239276,0.289364,0.191233,-0.170037,0.205632,0.188182,-0.170152,0.187531,0.191269,-0.148685,0.290681,0.195328,-0.140400,0.203134,0.210938,-0.242356,0.195203,0.209033,,,,,,,,,,,,
11,0.122222,-0.180154,0.285925,0.178419,-0.189477,0.183387,0.185491,-0.207083,0.285858,0.178279,-0.235608,0.224365,0.199422,-0.191871,0.277825,0.178345,-0.214834,0.204699,0.187728,-0.189596,0.157530,0.181536,-0.193911,0.231087,0.163252,-0.213300,0.183731,0.190232,-0.136138,0.262296,0.216252,-0.192410,0.207951,0.180544,-0.151004,0.229524,0.198971,-0.252578,0.259070,0.214003,-0.239266,0.289327,0.191269,-0.170079,0.205586,0.188271,-0.170197,0.187509,0.191370,-0.148677,0.290636,0.195311,-0.140407,0.203090,0.210955,-0.242369,0.195181,0.209070,,,,,,,,,,,,
12,0.133333,-0.180169,0.285881,0.178491,-0.189502,0.183352,0.185583,-0.207073,0.285800,0.178271,-0.235612,0.224335,0.199458,-0.191867,0.277781,0.178386,-0.214848,0.204662,0.187765,-0.189667,0.157525,0.181511,-0.193925,0.231005,0.163251,-0.213356,0.183693,0.190272,-0.136138,0.262253,0.216255,-0.192442,0.207891,0.180583,-0.151033,0.229465,0.198993,-0.252579,0.259049,0.214024,-0.239264,0.289293,0.191269,-0.170092,0.205538,0.188287,-0.170217,0.187458,0.191415,-0.148670,0.290575,0.195303,-0.140420,0.203037,0.210984,-0.242385,0.195154,0.209124,,,,,,,,,,,,
13,0.144444,-0.180169,0.285830,0.178495,-0.189554,0.183355,0.185613,-0.207055,0.285749,0.178290,-0.235642,0.224288,0.199504,-0.191872,0.277677,0.178433,-0.214873,0.204618,0.187817,-0.189700,0.157460,0.181582,-0.193930,0.230934,0.163290,-0.213379,0.183655,0.190323,-0.136138,0.262215,0.216246,-0.192445,0.207819,0.180623,-0.151058,0.229400,0.199018,-0.252581,0.259021,0.214060,-0.239244,0.289256,0.191282,-0.170046,0.205569,0.188017,-0.170216,0.187377,0.191401,-0.148670,0.290512,0.195294,-0.140439,0.202908,0.211116,-0.242403,0.195118,0.209192,,,,,,,,,,,,
14,0.155556,-0.180181,0.285737,0.178508,-0.189674,0.183348,0.185813,-0.207061,0.285709,0.178297,-0.235674,0.224246,0.199553,-0.191878,0.277597,0.178474,-0.214901,0.204566,0.187855,-0.189735,0.157407,0.181652,-0.193958,0.230862,0.163304,-0.213405,0.183618,0.190374,-0.136146,0.262164,0.216252,-0.192483,0.207760,0.180679,-0.151071,0.229351,0.199049,-0.252589,0.258998,0.214091,-0.239246,0.289223,0.191297,-0.170068,0.205516,0.188048,-0.170241,0.187325,0.191447,-0.148671,0.290460,0.195275,-0.140461,0.202857,0.211159,-0.242423,0.195081,0.209273,,,,,,,,,,,,
15,0.166667,-0.180185,0.285701,0.178508,-0.189615,0.183294,0.185800,-0.207070,0.285678,0.178310,-0.235688,0.224220,0.199591,-0.191887,0.277563,0.178486,-0.214931,0.204544,0.187917,-0.189776,0.157362,0.181760,-0.193981,0.230820,0.163331,-0.213431,0.183584,0.190427,-0.136155,0.262125,0.216260,-0.192504,0.207727,0.180710,-0.151078,0.229295,0.199099,-0.252595,0.258980,0.214123,-0.239251,0.289194,0.191313,-0.170086,0.205476,0.188085,-0.170268,0.187285,0.191491,-0.148673,0.290405,0.195289,-0.140475,0.202815,0.211198,-0.242446,0.195057,0.209341,,,,,,,,,,,,
