RCheekLowX,RCheekLowY,RCheekLowZ,RCheekUpX,RCheekUpY,RCheekUpZ,REyeX,REyeY,REyeZ,RBrowOutX,RBrowOutY,RBrowOutZ,RBrowInX,RBrowInY,RBrowInZ,CBrowX,CBrowY,CBrowZ,LBrowInX,LBrowInY,LBrowInZ,LBrowOutX,LBrowOutY,LBrowOutZ,LEyeX,LEyeY,LEyeZ,LCheekUpX,LCheekUpY,LCheekUpZ,LCheekLowX,LCheekLowY,LCheekLowZ,RLipLowX,RLipLowY,RLipLowZ,RLipUpX,RLipUpY,RLipUpZ,CLipLowX,CLipLowY,CLipLowZ,CLipUpX,CLipUpY,CLipUpZ,LLipLowX,LLipLowY,LLipLowZ,LLipUpX,LLipUpY,LLipUpZ,ChinX,ChinY,ChinZ,NoseX,NoseY,NoseZ
-0.24125700000000003,0.215631,0.213979,-0.23442800000000003,0.24516999999999997,0.20463800000000001,-0.24877600000000002,0.279578,0.22217199999999998,-0.236381,0.30998000000000003,0.199194,-0.20588800000000002,0.306431,0.18299400000000002,-0.191047,0.29873299999999997,0.181579,-0.179258,0.30591199999999996,0.18043499999999998,-0.146229,0.30930799999999997,0.194293,-0.132656,0.27975700000000003,0.213252,-0.150071,0.247619,0.19659300000000002,-0.138808,0.22054400000000002,0.206144,-0.213939,0.205461,0.191053,-0.21563800000000002,0.225872,0.190079,-0.190722,0.204483,0.18345699999999998,-0.193953,0.22876100000000002,0.18054800000000001,-0.171051,0.207479,0.187582,-0.170648,0.22521300000000002,0.185371,-0.192114,0.179016,0.179836,-0.196076,0.252266,0.164613
-0.241202,0.21561799999999998,0.21383000000000002,-0.23438499999999998,0.24518,0.20458900000000002,-0.24874899999999997,0.27958299999999997,0.22211999999999998,-0.236353,0.31,0.199155,-0.20583400000000002,0.30644899999999997,0.18296199999999999,-0.191002,0.298766,0.18155,-0.179199,0.30595,0.18043299999999998,-0.146202,0.309346,0.19431600000000002,-0.132625,0.279803,0.21327800000000002,-0.150016,0.24766,0.19658,-0.138746,0.22060900000000003,0.206171,-0.213854,0.205477,0.19101300000000002,-0.21557300000000001,0.225899,0.19003,-0.190637,0.204557,0.183354,-0.193883,0.22877199999999998,0.180555,-0.170973,0.207515,0.187564,-0.17059100000000002,0.22526,0.185373,-0.19203800000000001,0.179058,0.179803,-0.19599,0.252294,0.164654
-0.24113099999999998,0.215619,0.21375500000000003,-0.23431300000000002,0.24518299999999998,0.204494,-0.248714,0.279582,0.222054,-0.236312,0.310012,0.199113,-0.20576999999999998,0.306471,0.182946,-0.19086,0.298798,0.18157,-0.17915599999999998,0.305971,0.18043399999999998,-0.14615799999999998,0.30937800000000004,0.194347,-0.132588,0.27984499999999995,0.213335,-0.14996600000000002,0.247704,0.19656500000000002,-0.138681,0.220651,0.20621599999999998,-0.213745,0.205473,0.190997,-0.21547199999999997,0.22592600000000002,0.189951,-0.19055,0.204572,0.183316,-0.19378599999999999,0.228793,0.18051199999999998,-0.170889,0.20755300000000002,0.187577,-0.170601,0.225149,0.185838,-0.191906,0.179098,0.179726,-0.195915,0.252315,0.164639
-0.241065,0.21561,0.21368499999999999,-0.23420100000000002,0.245182,0.204402,-0.24868200000000001,0.279571,0.22198,-0.236275,0.310014,0.19907,-0.205704,0.30649899999999997,0.182908,-0.190808,0.298807,0.181556,-0.17911300000000002,0.306003,0.180483,-0.14611400000000002,0.30941599999999997,0.19436199999999998,-0.13253399999999999,0.279869,0.213369,-0.149901,0.247757,0.19654000000000002,-0.13858099999999998,0.22066999999999998,0.206209,-0.21364,0.205481,0.190911,-0.21535300000000002,0.22593400000000002,0.189897,-0.190434,0.204575,0.183356,-0.193678,0.228764,0.180553,-0.17078,0.20757199999999998,0.187555,-0.170493,0.225181,0.185824,-0.19178699999999999,0.179118,0.17968299999999998,-0.19578399999999999,0.252319,0.164622
-0.240999,0.21559099999999998,0.21360900000000002,-0.23414200000000002,0.245169,0.20435599999999998,-0.248644,0.27955100000000005,0.221925,-0.23623000000000002,0.31001599999999996,0.199019,-0.20565799999999998,0.306498,0.182893,-0.190734,0.298798,0.181528,-0.179069,0.306008,0.18048699999999998,-0.146067,0.309427,0.194409,-0.132487,0.279886,0.21344200000000002,-0.149807,0.24776700000000002,0.196627,-0.1385,0.220691,0.206225,-0.213525,0.205463,0.190897,-0.21526599999999999,0.22592199999999998,0.189879,-0.190353,0.204555,0.183361,-0.193606,0.22876100000000002,0.180534,-0.170691,0.207576,0.187554,-0.170404,0.225204,0.185824,-0.191674,0.179115,0.17965599999999998,-0.19567,0.252327,0.16458399999999998
-0.24092800000000003,0.21556799999999998,0.21353200000000003,-0.234098,0.245152,0.204323,-0.248612,0.279517,0.221877,-0.236198,0.30999899999999997,0.19898,-0.205562,0.306485,0.182996,-0.190678,0.298809,0.18152000000000001,-0.179033,0.306006,0.180483,-0.146025,0.30944499999999997,0.194443,-0.132446,0.279903,0.21346700000000002,-0.14976,0.247772,0.19663599999999998,-0.138443,0.220701,0.20624499999999998,-0.21345,0.20544600000000002,0.19088,-0.21517600000000003,0.225872,0.189872,-0.190353,0.204475,0.183669,-0.19349,0.228758,0.180479,-0.170605,0.20755900000000002,0.18757000000000001,-0.17031300000000002,0.225223,0.18582,-0.191577,0.179106,0.179651,-0.195603,0.252332,0.164521
-0.240862,0.21553000000000003,0.213491,-0.23404299999999997,0.24511999999999998,0.204269,-0.248579,0.279471,0.22183000000000003,-0.236179,0.309975,0.198941,-0.20554,0.30646999999999996,0.182988,-0.190649,0.298799,0.181518,-0.178971,0.305996,0.180505,-0.145985,0.30943899999999996,0.194441,-0.132422,0.279904,0.213475,-0.149727,0.247773,0.19664700000000002,-0.13839200000000002,0.22070399999999998,0.20626399999999998,-0.213392,0.205427,0.190866,-0.215129,0.22585100000000002,0.189861,-0.19029000000000001,0.20446,0.183666,-0.193444,0.22874699999999998,0.180471,-0.170552,0.207554,0.187578,-0.170233,0.225212,0.185772,-0.191496,0.179094,0.179724,-0.195516,0.252317,0.16456600000000002
-0.24083000000000002,0.21549200000000002,0.213479,-0.234053,0.24506999999999998,0.204299,-0.248567,0.279435,0.221818,-0.236179,0.309935,0.19895,-0.205556,0.306433,0.182974,-0.19063,0.298761,0.181509,-0.17895999999999998,0.30596799999999996,0.180453,-0.145978,0.309431,0.194446,-0.132394,0.279903,0.21347,-0.149687,0.247763,0.196696,-0.13836199999999999,0.22069699999999998,0.20626799999999998,-0.213358,0.205404,0.190843,-0.21510300000000002,0.22582800000000003,0.18983,-0.190247,0.20444500000000002,0.183666,-0.19339800000000001,0.228714,0.180483,-0.170505,0.20753200000000002,0.18759,-0.170206,0.225201,0.185777,-0.191431,0.179058,0.179678,-0.195493,0.2523,0.16455799999999998
-0.240814,0.215473,0.213565,-0.23404699999999998,0.24503899999999998,0.20431300000000002,-0.248567,0.279401,0.221835,-0.236161,0.3099,0.19905599999999998,-0.20556100000000002,0.30641,0.182977,-0.190632,0.298742,0.1815,-0.178964,0.30594699999999997,0.180448,-0.145978,0.309404,0.194449,-0.132395,0.279887,0.21346700000000002,-0.149701,0.247734,0.196683,-0.138348,0.220681,0.20627399999999999,-0.213356,0.205354,0.19086199999999998,-0.215104,0.225798,0.189805,-0.190226,0.204421,0.183673,-0.193396,0.22869,0.18049,-0.170497,0.207513,0.187591,-0.170198,0.225181,0.185777,-0.191416,0.179037,0.17968299999999998,-0.195485,0.252261,0.164518
-0.240825,0.21544499999999997,0.213596,-0.23406100000000002,0.245013,0.20433099999999998,-0.248577,0.279381,0.22186,-0.23621,0.30988899999999997,0.198962,-0.205602,0.30638000000000004,0.18293199999999998,-0.190644,0.298708,0.18151099999999998,-0.179024,0.305931,0.180427,-0.146021,0.309381,0.194439,-0.132413,0.279868,0.213459,-0.14971099999999998,0.24769699999999997,0.19672,-0.13836700000000002,0.220665,0.206269,-0.213369,0.20533,0.190891,-0.21512399999999998,0.225771,0.189824,-0.19026400000000002,0.204397,0.183692,-0.193434,0.228658,0.180488,-0.170512,0.207485,0.187596,-0.170219,0.225154,0.18579,-0.191419,0.178978,0.179681,-0.19551,0.25224,0.164525
