RCheekLowX,RCheekLowY,RCheekLowZ,RCheekUpX,RCheekUpY,RCheekUpZ,RBrowOutX,RBrowOutY,RBrowOutZ,RBrowInX,RBrowInY,RBrowInZ,LBrowInX,LBrowInY,LBrowInZ,LBrowOutX,LBrowOutY,LBrowOutZ,LCheekUpX,LCheekUpY,LCheekUpZ,LCheekLowX,LCheekLowY,LCheekLowZ,RLipLowX,RLipLowY,RLipLowZ,RLipUpX,RLipUpY,RLipUpZ,CLipLowX,CLipLowY,CLipLowZ,CLipUpX,CLipUpY,CLipUpZ,LLipLowX,LLipLowY,LLipLowZ,LLipUpX,LLipUpY,LLipUpZ
-0.250965,0.23298000000000002,0.196249,-0.24295799999999998,0.262678,0.188385,-0.244114,0.328266,0.184723,-0.21214299999999997,0.32518800000000003,0.171234,-0.185372,0.32463800000000004,0.171702,-0.15400899999999998,0.32721999999999996,0.18906199999999998,-0.157752,0.26539,0.188797,-0.147173,0.23800900000000003,0.198875,-0.22145,0.22267199999999998,0.177305,-0.222523,0.243437,0.175995,-0.196794,0.22250599999999998,0.171674,-0.200046,0.24721300000000002,0.169433,-0.177703,0.225254,0.178559,-0.176847,0.24307600000000001,0.17614100000000002
-0.250958,0.232998,0.196248,-0.24293299999999998,0.26271,0.188355,-0.24410300000000001,0.328281,0.18472,-0.212121,0.325219,0.17127799999999999,-0.185358,0.324652,0.171716,-0.15398399999999998,0.327221,0.189105,-0.157747,0.265401,0.188816,-0.14715999999999999,0.238021,0.198889,-0.221429,0.222692,0.177317,-0.222521,0.24346700000000002,0.175967,-0.196779,0.22252600000000003,0.171676,-0.200035,0.247227,0.16944,-0.17769100000000002,0.225269,0.178561,-0.176834,0.243094,0.176147
-0.25095500000000004,0.233015,0.196237,-0.242936,0.26274200000000003,0.188325,-0.244088,0.328309,0.18469100000000002,-0.21210700000000002,0.325231,0.171285,-0.185347,0.324664,0.171728,-0.153974,0.327233,0.189122,-0.157736,0.265408,0.18883,-0.147152,0.238033,0.19889,-0.22142199999999998,0.22271,0.177307,-0.22250999999999999,0.243482,0.175963,-0.196765,0.22252600000000003,0.171682,-0.200022,0.247241,0.16944,-0.17768299999999998,0.22528299999999998,0.178561,-0.176824,0.243117,0.17616500000000002
-0.25094299999999997,0.233025,0.196223,-0.24292600000000003,0.26274400000000003,0.18831099999999998,-0.244077,0.328315,0.184692,-0.21210700000000002,0.325251,0.171312,-0.185338,0.324702,0.171702,-0.153962,0.327244,0.189136,-0.157727,0.265417,0.188841,-0.147146,0.23804699999999998,0.198901,-0.22140900000000002,0.222716,0.177301,-0.22249699999999997,0.243493,0.175957,-0.19674,0.22254899999999997,0.17165899999999998,-0.20001,0.24725,0.169445,-0.177672,0.22529200000000002,0.178569,-0.176805,0.243127,0.176143
-0.250934,0.23303200000000002,0.196218,-0.242917,0.262755,0.188318,-0.244071,0.328322,0.184685,-0.212063,0.325253,0.17133800000000002,-0.185329,0.32471,0.171703,-0.15395599999999998,0.327251,0.189147,-0.15772,0.265421,0.188843,-0.147136,0.238054,0.198902,-0.221387,0.22273400000000002,0.177296,-0.22248800000000002,0.243498,0.175955,-0.19673,0.222557,0.17165999999999998,-0.199971,0.247248,0.16944,-0.17765999999999998,0.225313,0.178546,-0.176757,0.243114,0.17621199999999998
-0.250923,0.233027,0.196207,-0.24291300000000002,0.262753,0.188313,-0.24406799999999998,0.328311,0.18471300000000002,-0.212058,0.325253,0.17133800000000002,-0.185318,0.324698,0.171733,-0.153951,0.327254,0.189155,-0.157712,0.265422,0.188844,-0.147129,0.23805900000000002,0.19891099999999998,-0.221377,0.222733,0.177297,-0.22247600000000003,0.243497,0.175951,-0.196713,0.222554,0.171665,-0.199944,0.24723499999999998,0.169449,-0.177646,0.225316,0.17855,-0.176741,0.243126,0.176208
-0.250917,0.23302199999999998,0.196198,-0.242903,0.262746,0.18829500000000002,-0.24405500000000002,0.328315,0.184669,-0.21207399999999998,0.325233,0.171322,-0.185316,0.324696,0.17173,-0.153948,0.327256,0.189153,-0.15770699999999999,0.265421,0.188856,-0.147121,0.238058,0.19892,-0.22135100000000002,0.22274000000000002,0.177261,-0.222466,0.24349400000000002,0.175948,-0.196703,0.22255100000000003,0.17165999999999998,-0.19993699999999998,0.24722800000000003,0.16944800000000002,-0.177618,0.225304,0.178563,-0.176741,0.24311300000000002,0.176215
-0.250915,0.233013,0.196198,-0.24289899999999998,0.262736,0.18829200000000001,-0.24405700000000002,0.328307,0.184661,-0.212069,0.325226,0.171319,-0.185309,0.324689,0.171725,-0.153947,0.32724699999999995,0.189152,-0.157683,0.265414,0.188931,-0.147117,0.238051,0.198923,-0.22134600000000001,0.22271100000000002,0.177263,-0.222462,0.243484,0.17594500000000002,-0.196693,0.22254200000000002,0.171681,-0.199931,0.247221,0.16944800000000002,-0.17761300000000002,0.22529699999999997,0.178567,-0.176729,0.24310199999999998,0.176199
-0.250909,0.233001,0.196195,-0.24290799999999999,0.26269699999999996,0.188352,-0.24405300000000002,0.32829,0.18466,-0.21205900000000003,0.325205,0.171285,-0.185311,0.324648,0.171758,-0.15395,0.327234,0.189143,-0.15770699999999999,0.265405,0.188862,-0.147118,0.238039,0.198928,-0.221344,0.22269699999999998,0.177264,-0.22245900000000002,0.24347199999999997,0.175947,-0.196687,0.222531,0.17168599999999998,-0.199927,0.24721300000000002,0.169446,-0.17761300000000002,0.22528499999999999,0.178566,-0.176727,0.24309099999999997,0.176199
-0.250915,0.23298600000000003,0.196198,-0.24291,0.262679,0.188354,-0.244063,0.328275,0.184646,-0.21202100000000002,0.325164,0.171309,-0.185315,0.32463600000000004,0.17175,-0.153951,0.327221,0.189139,-0.157709,0.265393,0.188858,-0.147127,0.238025,0.198935,-0.22132800000000002,0.222658,0.177286,-0.222458,0.243443,0.175977,-0.196689,0.222518,0.17168599999999998,-0.199931,0.24719499999999997,0.16944800000000002,-0.17761400000000002,0.225267,0.178572,-0.176742,0.24308400000000002,0.17619500000000002
