RCheekLowX,RCheekLowY,RCheekLowZ,RCheekUpX,RCheekUpY,RCheekUpZ,RBrowOutX,RBrowOutY,RBrowOutZ,RBrowInX,RBrowInY,RBrowInZ,LBrowInX,LBrowInY,LBrowInZ,LBrowOutX,LBrowOutY,LBrowOutZ,LCheekUpX,LCheekUpY,LCheekUpZ,LCheekLowX,LCheekLowY,LCheekLowZ,RLipLowX,RLipLowY,RLipLowZ,RLipUpX,RLipUpY,RLipUpZ,CLipLowX,CLipLowY,CLipLowZ,CLipUpX,CLipUpY,CLipUpZ,LLipLowX,LLipLowY,LLipLowZ,LLipUpX,LLipUpY,LLipUpZ
-0.250933,0.229792,0.193143,-0.24418499999999999,0.25957800000000003,0.18417,-0.24663000000000002,0.325705,0.179448,-0.214812,0.32253200000000004,0.165202,-0.18800999999999998,0.32252,0.164927,-0.155839,0.327285,0.181649,-0.158853,0.263826,0.183058,-0.147781,0.236902,0.19372799999999998,-0.221689,0.220016,0.174043,-0.223944,0.240231,0.171639,-0.197017,0.220654,0.167229,-0.20182999999999998,0.243799,0.164831,-0.178018,0.223516,0.174477,-0.17810499999999999,0.24048699999999998,0.171362
-0.25093699999999997,0.22978099999999999,0.19315,-0.24419200000000002,0.25956999999999997,0.184172,-0.246641,0.325702,0.179448,-0.214824,0.322531,0.165202,-0.188021,0.322519,0.164926,-0.155856,0.327289,0.181646,-0.158865,0.263823,0.183052,-0.147806,0.23689699999999997,0.193725,-0.2217,0.219998,0.174037,-0.223967,0.24022800000000002,0.17160899999999998,-0.197027,0.22064,0.167243,-0.20182,0.24380500000000002,0.164776,-0.178029,0.22349899999999998,0.174473,-0.178071,0.240488,0.171148
-0.250938,0.229771,0.193146,-0.24419699999999997,0.259563,0.184172,-0.246651,0.32569699999999996,0.179447,-0.214833,0.32253000000000004,0.165202,-0.18803599999999998,0.32251599999999997,0.164922,-0.155869,0.327289,0.181645,-0.158879,0.263851,0.18298499999999998,-0.147822,0.236895,0.193722,-0.22170399999999998,0.219979,0.174038,-0.22397399999999998,0.240225,0.171599,-0.197017,0.220604,0.167217,-0.201842,0.243796,0.164827,-0.178034,0.223483,0.17447000000000001,-0.178074,0.240488,0.171175
-0.25093499999999996,0.22976300000000002,0.193142,-0.24420300000000003,0.259556,0.184174,-0.24667399999999998,0.32569000000000004,0.17943900000000002,-0.214858,0.32251399999999997,0.165192,-0.188047,0.32251799999999997,0.164917,-0.15588,0.327288,0.181636,-0.158889,0.263848,0.182981,-0.147832,0.23689000000000002,0.193715,-0.221712,0.21996100000000002,0.174024,-0.22397899999999998,0.240221,0.17159100000000002,-0.197019,0.22059099999999998,0.167219,-0.201835,0.243799,0.164766,-0.178043,0.223465,0.174463,-0.178087,0.24048000000000003,0.17114100000000002
-0.25094099999999997,0.22975900000000002,0.193129,-0.244211,0.259554,0.184165,-0.24668400000000001,0.325694,0.17943800000000001,-0.214869,0.322513,0.165189,-0.188059,0.322519,0.16491,-0.155891,0.327291,0.181632,-0.158893,0.263845,0.182974,-0.147841,0.236887,0.193711,-0.221717,0.219952,0.174016,-0.22398800000000002,0.240225,0.171585,-0.197025,0.220579,0.167213,-0.201836,0.243802,0.164757,-0.178046,0.223456,0.174459,-0.178106,0.24047800000000003,0.171126
-0.250952,0.229764,0.19309500000000002,-0.244211,0.25955300000000003,0.184161,-0.246691,0.325696,0.179431,-0.21487399999999998,0.32254299999999997,0.16514700000000002,-0.188064,0.32251799999999997,0.164904,-0.155901,0.327293,0.181622,-0.158942,0.26385,0.182947,-0.147849,0.23689000000000002,0.19369,-0.221721,0.219944,0.173997,-0.22399499999999997,0.240227,0.171571,-0.196936,0.22066,0.16682,-0.20185699999999998,0.243802,0.164804,-0.178053,0.223452,0.174439,-0.1781,0.240488,0.17112
-0.250963,0.22976999999999997,0.19308,-0.244219,0.259556,0.184152,-0.246694,0.325702,0.179419,-0.214894,0.32253000000000004,0.165132,-0.18806900000000001,0.32252,0.164895,-0.155907,0.327293,0.18161,-0.158949,0.26385,0.18294000000000002,-0.14785399999999999,0.23689000000000002,0.193673,-0.22173099999999998,0.21994,0.173982,-0.22400100000000003,0.240229,0.17156,-0.196943,0.220654,0.16680599999999998,-0.201846,0.24381,0.164744,-0.178059,0.22344499999999998,0.174423,-0.17815799999999998,0.240481,0.171286
-0.250972,0.229776,0.193057,-0.244225,0.259561,0.184144,-0.246689,0.325709,0.17940599999999998,-0.21489499999999997,0.322534,0.16511900000000002,-0.188074,0.322523,0.164888,-0.155911,0.327291,0.181604,-0.15895499999999999,0.263846,0.182897,-0.14786300000000002,0.236886,0.193662,-0.221742,0.21991999999999998,0.173985,-0.22401100000000002,0.240234,0.171544,-0.196947,0.220646,0.166799,-0.201855,0.24380900000000003,0.164734,-0.178046,0.223408,0.174319,-0.17816700000000002,0.240483,0.17127
-0.250983,0.229778,0.19303599999999999,-0.24423899999999998,0.25957800000000003,0.184098,-0.24670599999999998,0.32571500000000003,0.179369,-0.21489499999999997,0.322535,0.16510899999999998,-0.18807000000000001,0.322521,0.164878,-0.155912,0.327284,0.181592,-0.15896,0.263842,0.182884,-0.147869,0.23687399999999997,0.193613,-0.22179400000000002,0.21990700000000002,0.173931,-0.224018,0.240234,0.171529,-0.19696,0.2206,0.16683599999999998,-0.201877,0.24382399999999999,0.164708,-0.178066,0.22339299999999998,0.174289,-0.17813199999999998,0.240483,0.171075
-0.25098899999999996,0.229776,0.193022,-0.24424200000000001,0.25957199999999997,0.184088,-0.246696,0.32571700000000003,0.179359,-0.214896,0.32253000000000004,0.16509200000000002,-0.188077,0.32251599999999997,0.16486099999999998,-0.155916,0.327277,0.181576,-0.15896500000000002,0.263833,0.18288,-0.14787,0.23686100000000002,0.19359500000000002,-0.22178499999999998,0.21990900000000002,0.17388299999999998,-0.22402199999999997,0.240233,0.17152,-0.196964,0.220585,0.166822,-0.20188299999999998,0.24381999999999998,0.164702,-0.178084,0.223372,0.174284,-0.178152,0.240472,0.17106500000000002
