RCheekLowX,RCheekLowY,RCheekLowZ,RCheekUpX,RCheekUpY,RCheekUpZ,RBrowOutX,RBrowOutY,RBrowOutZ,RBrowInX,RBrowInY,RBrowInZ,LBrowInX,LBrowInY,LBrowInZ,LBrowOutX,LBrowOutY,LBrowOutZ,LCheekUpX,LCheekUpY,LCheekUpZ,LCheekLowX,LCheekLowY,LCheekLowZ,RLipLowX,RLipLowY,RLipLowZ,RLipUpX,RLipUpY,RLipUpZ,CLipLowX,CLipLowY,CLipLowZ,CLipUpX,CLipUpY,CLipUpZ,LLipLowX,LLipLowY,LLipLowZ,LLipUpX,LLipUpY,LLipUpZ
-0.239012,0.22653600000000002,0.186433,-0.231825,0.256183,0.17635,-0.23194299999999998,0.321044,0.169734,-0.200281,0.31681,0.156477,-0.17387,0.31599499999999997,0.156746,-0.142777,0.31915,0.173759,-0.146227,0.25836,0.176149,-0.136783,0.231219,0.18880999999999998,-0.20992600000000003,0.214993,0.16811099999999998,-0.21161999999999997,0.236166,0.164878,-0.185066,0.213928,0.162287,-0.18940099999999999,0.23890300000000003,0.157931,-0.166374,0.217113,0.169015,-0.165716,0.23526799999999998,0.165371
-0.23900700000000002,0.22653,0.18646600000000002,-0.231823,0.25617399999999996,0.17636300000000002,-0.231925,0.321035,0.169731,-0.200255,0.31678,0.156442,-0.173852,0.31594099999999997,0.156789,-0.142765,0.31911100000000003,0.173773,-0.146227,0.258328,0.176178,-0.136792,0.231183,0.188849,-0.20993299999999998,0.21497399999999997,0.168139,-0.21162199999999998,0.23614899999999997,0.164901,-0.185074,0.21390900000000002,0.16231600000000002,-0.189398,0.23888600000000001,0.157949,-0.166381,0.217079,0.16905,-0.165721,0.235219,0.165404
-0.23903000000000002,0.22653,0.18648699999999999,-0.231804,0.256166,0.17641099999999998,-0.23191199999999998,0.321027,0.169733,-0.200247,0.31675,0.156476,-0.17383800000000002,0.315924,0.15679400000000002,-0.142754,0.319083,0.173779,-0.146229,0.258304,0.176203,-0.136798,0.231159,0.188873,-0.209941,0.214961,0.16817100000000001,-0.21162399999999998,0.23614200000000002,0.16492300000000001,-0.185086,0.21388800000000002,0.162339,-0.189399,0.23887600000000003,0.157966,-0.166388,0.217052,0.16908800000000002,-0.165676,0.235267,0.165202
-0.239051,0.226534,0.18651600000000002,-0.231803,0.256166,0.176425,-0.23189400000000002,0.321013,0.169745,-0.200261,0.316725,0.156473,-0.173832,0.315911,0.156797,-0.142743,0.31905900000000004,0.173775,-0.146233,0.258288,0.17623,-0.13680799999999999,0.231145,0.188911,-0.209948,0.21495100000000003,0.168192,-0.21163099999999999,0.23613299999999998,0.164946,-0.185092,0.213875,0.162364,-0.189398,0.23886300000000002,0.157987,-0.166399,0.217031,0.169133,-0.165681,0.23525100000000002,0.16522699999999998
-0.239065,0.226534,0.186559,-0.231807,0.256166,0.17643499999999998,-0.23189899999999997,0.321022,0.169743,-0.200258,0.316717,0.156478,-0.17382899999999998,0.3159,0.15681099999999998,-0.142747,0.31904899999999997,0.173796,-0.146242,0.258279,0.176256,-0.13681500000000002,0.23113899999999998,0.188941,-0.209957,0.214943,0.168217,-0.21163200000000001,0.23612600000000003,0.164968,-0.185117,0.213863,0.162379,-0.189402,0.23885599999999998,0.15800799999999998,-0.16641,0.217013,0.169159,-0.165689,0.23524,0.165257
-0.239075,0.22653600000000002,0.18658,-0.23181100000000002,0.25616500000000003,0.176455,-0.23189899999999997,0.32101399999999997,0.16976,-0.200266,0.316713,0.156495,-0.173836,0.315898,0.156825,-0.142754,0.319046,0.173806,-0.146253,0.258277,0.176282,-0.136828,0.231138,0.188976,-0.20997,0.21493800000000002,0.168247,-0.21163800000000002,0.236123,0.164993,-0.185119,0.21386100000000002,0.162428,-0.189406,0.23885900000000002,0.158025,-0.16642200000000001,0.21699899999999997,0.169194,-0.165739,0.23517,0.16550399999999998
-0.239087,0.226539,0.186611,-0.231819,0.256166,0.176476,-0.231923,0.321025,0.169764,-0.200283,0.31673,0.156623,-0.173848,0.315905,0.156844,-0.142774,0.31906599999999996,0.173837,-0.146264,0.258283,0.17631,-0.136844,0.231147,0.189004,-0.209975,0.214937,0.16831600000000002,-0.211655,0.236117,0.165012,-0.18512699999999999,0.21386100000000002,0.16245,-0.189409,0.238866,0.15804400000000002,-0.166436,0.21700100000000003,0.169215,-0.165748,0.23516199999999998,0.16556400000000002
-0.23909699999999998,0.226552,0.18664,-0.23183099999999998,0.25617,0.17649,-0.23194499999999998,0.321035,0.169783,-0.20031300000000002,0.316759,0.156681,-0.173867,0.315921,0.156863,-0.142794,0.319094,0.17385799999999998,-0.146282,0.258313,0.176366,-0.13685799999999998,0.231169,0.18903399999999998,-0.209972,0.21494699999999997,0.16837,-0.21166500000000002,0.23612600000000003,0.165034,-0.185137,0.213871,0.16247799999999998,-0.189418,0.238882,0.158058,-0.166442,0.217006,0.169239,-0.16577,0.235195,0.165615
-0.239103,0.22656500000000002,0.18666300000000002,-0.23184200000000002,0.256182,0.176508,-0.231981,0.321058,0.169825,-0.20035,0.316787,0.15667,-0.17389100000000002,0.315948,0.156888,-0.142828,0.319132,0.17388599999999999,-0.146297,0.258346,0.17639000000000002,-0.13686700000000002,0.23121,0.189048,-0.20996700000000001,0.21497399999999997,0.168391,-0.211675,0.23614000000000002,0.165053,-0.18515399999999999,0.213908,0.162491,-0.189468,0.238904,0.158112,-0.166447,0.217031,0.169282,-0.165779,0.235244,0.165624
-0.23911,0.226579,0.186678,-0.23185799999999998,0.25619699999999995,0.176525,-0.232014,0.321081,0.169852,-0.200419,0.316819,0.156669,-0.173938,0.31601599999999996,0.156943,-0.14285699999999998,0.319194,0.173898,-0.146319,0.258404,0.176368,-0.13688,0.231251,0.18907000000000002,-0.209984,0.215007,0.16839300000000001,-0.211687,0.236184,0.165072,-0.18516300000000002,0.21393800000000002,0.162498,-0.189475,0.238936,0.15812400000000001,-0.166458,0.217065,0.16929,-0.16574,0.23534699999999997,0.16541
